# Delays, Delay errors, Counts
3.150180141874409312e+00,3.524290334700408357e-04,2.700000000000000000e+01
3.170972514891287730e+00,3.524353459566458816e-04,3.800000000000000000e+01
3.191764887908165704e+00,3.524417023184588647e-04,4.600000000000000000e+01
3.212557260925044123e+00,3.524481025531059244e-04,3.100000000000000000e+01
3.233349633941922541e+00,3.524545466581969371e-04,4.400000000000000000e+01
3.254142006958800959e+00,3.524610346313256245e-04,2.800000000000000000e+01
3.274934379975679377e+00,3.524675664700696620e-04,2.700000000000000000e+01
3.295726752992557795e+00,3.524741421719901910e-04,2.500000000000000000e+01
3.316519126009435769e+00,3.524807617346324153e-04,2.700000000000000000e+01
3.337311499026314188e+00,3.524874251555253296e-04,3.200000000000000000e+01
3.358103872043192606e+00,3.524941324321816116e-04,2.000000000000000000e+01
3.378896245060071024e+00,3.525008835620978926e-04,2.500000000000000000e+01
3.399688618076949442e+00,3.525076785427545410e-04,3.100000000000000000e+01
3.420480991093827861e+00,3.525145173716158248e-04,3.800000000000000000e+01
3.441273364110705835e+00,3.525214000461298030e-04,2.900000000000000000e+01
3.462065737127584253e+00,3.525283265637283803e-04,3.000000000000000000e+01
3.482858110144462671e+00,3.525352969218272523e-04,1.600000000000000000e+01
3.503650483161341089e+00,3.525423111178261227e-04,2.600000000000000000e+01
3.524442856178219508e+00,3.525493691491083238e-04,2.400000000000000000e+01
3.545235229195097926e+00,3.525564710130413043e-04,3.100000000000000000e+01
3.566027602211976344e+00,3.525636167069760873e-04,2.800000000000000000e+01
3.586819975228854318e+00,3.525708062282477580e-04,2.500000000000000000e+01
3.607612348245732736e+00,3.525780395741753013e-04,2.100000000000000000e+01
3.628404721262611154e+00,3.525853167420614389e-04,2.800000000000000000e+01
3.649197094279489573e+00,3.525926377291928467e-04,2.100000000000000000e+01
3.669989467296367991e+00,3.526000025328400998e-04,2.400000000000000000e+01
3.690781840313246409e+00,3.526074111502576188e-04,1.800000000000000000e+01
3.711574213330124383e+00,3.526148635786838324e-04,2.900000000000000000e+01
3.732366586347002801e+00,3.526223598153409061e-04,2.300000000000000000e+01
3.753158959363881220e+00,3.526298998574350680e-04,3.000000000000000000e+01
3.773951332380759638e+00,3.526374837021563910e-04,1.800000000000000000e+01
3.794743705397638056e+00,3.526451113466787940e-04,2.700000000000000000e+01
3.815536078414516474e+00,3.526527827881603119e-04,3.300000000000000000e+01
3.836328451431394448e+00,3.526604980237427168e-04,2.500000000000000000e+01
3.857120824448272867e+00,3.526682570505517344e-04,2.400000000000000000e+01
3.877913197465151285e+00,3.526760598656972613e-04,2.800000000000000000e+01
3.898705570482029703e+00,3.526839064662727684e-04,2.100000000000000000e+01
3.919497943498908121e+00,3.526917968493560054e-04,2.000000000000000000e+01
3.940290316515786539e+00,3.526997310120085134e-04,2.100000000000000000e+01
3.961082689532664958e+00,3.527077089512758415e-04,2.200000000000000000e+01
3.981875062549542932e+00,3.527157306641874384e-04,2.400000000000000000e+01
4.002667435566421794e+00,3.527237961477567608e-04,1.200000000000000000e+01
4.023459808583299768e+00,3.527319053989813819e-04,1.800000000000000000e+01
4.044252181600178631e+00,3.527400584148426116e-04,2.800000000000000000e+01
4.065044554617056605e+00,3.527482551923059851e-04,2.500000000000000000e+01
4.085836927633935467e+00,3.527564957283207741e-04,1.800000000000000000e+01
